v	NotreDame_De_Paris.txt 27, Miserables.txt 71
volunteers	NotreDame_De_Paris.txt 6, Miserables.txt 6
voluptuary	Miserables.txt 1
voluptuous	NotreDame_De_Paris.txt 3, Miserables.txt 6
voluptuously	Miserables.txt 1
voluptuousness	NotreDame_De_Paris.txt 3, Miserables.txt 15
volutes	NotreDame_De_Paris.txt 2
volvitur	Miserables.txt 1
vomit	Miserables.txt 1
vomited	Miserables.txt 2
vomiting	NotreDame_De_Paris.txt 1
von	Miserables.txt 1
vont	Miserables.txt 13
voracious	Miserables.txt 2
voracity	NotreDame_De_Paris.txt 1, Miserables.txt 1
vos	Miserables.txt 2
vote	NotreDame_De_Paris.txt 2, Miserables.txt 6
voted	Miserables.txt 7
voter	Miserables.txt 1
voters	Miserables.txt 1
votes	Miserables.txt 2
voting	Miserables.txt 1
votre	Miserables.txt 3
voulgiers	NotreDame_De_Paris.txt 1
voult	NotreDame_De_Paris.txt 1
vous	Miserables.txt 9
vousiergue	Miserables.txt 1
vow	NotreDame_De_Paris.txt 2
vowels	NotreDame_De_Paris.txt 1
vowing	NotreDame_De_Paris.txt 1
vows	NotreDame_De_Paris.txt 2, Miserables.txt 6
voyage	NotreDame_De_Paris.txt 2, Miserables.txt 3
voyages	Miserables.txt 1
voyais	Miserables.txt 1
voyant	Miserables.txt 1
voyer	NotreDame_De_Paris.txt 2
voyers	NotreDame_De_Paris.txt 1
vrai	NotreDame_De_Paris.txt 1, Miserables.txt 2
vre	NotreDame_De_Paris.txt 1
vue	NotreDame_De_Paris.txt 1
vulcan	NotreDame_De_Paris.txt 1, Miserables.txt 1
vulgar	NotreDame_De_Paris.txt 4, Miserables.txt 16
vulgariter	NotreDame_De_Paris.txt 1
vulgarly	NotreDame_De_Paris.txt 2, Miserables.txt 1
vulnerable	Miserables.txt 2
vult	NotreDame_De_Paris.txt 1
vulture	Miserables.txt 8
vultures	Miserables.txt 3
vyasa	NotreDame_De_Paris.txt 1
vying	NotreDame_De_Paris.txt 1
