pell	Miserables.txt 18, NotreDame_De_Paris.txt 7
pellet	Miserables.txt 3
pelleterie	NotreDame_De_Paris.txt 1
pellibus	NotreDame_De_Paris.txt 1
pelligrini	Miserables.txt 1
pen	Miserables.txt 34, NotreDame_De_Paris.txt 5
penal	Miserables.txt 13, NotreDame_De_Paris.txt 1
penalties	Miserables.txt 2, NotreDame_De_Paris.txt 1
penalty	Miserables.txt 15, NotreDame_De_Paris.txt 5
penance	NotreDame_De_Paris.txt 5, Miserables.txt 2
penancers	NotreDame_De_Paris.txt 1
pencil	Miserables.txt 9
pencilled	Miserables.txt 2
pend	Miserables.txt 1
pendant	Miserables.txt 6
pendard	NotreDame_De_Paris.txt 1
pendent	NotreDame_De_Paris.txt 2, Miserables.txt 2
pendes	NotreDame_De_Paris.txt 1
pending	Miserables.txt 2, NotreDame_De_Paris.txt 1
pendit	Miserables.txt 1
pendre	NotreDame_De_Paris.txt 1
pendu	Miserables.txt 1
pendulous	NotreDame_De_Paris.txt 1, Miserables.txt 1
pendulum	Miserables.txt 4, NotreDame_De_Paris.txt 1
pene	Miserables.txt 1
penetrable	Miserables.txt 1
penetrate	Miserables.txt 16, NotreDame_De_Paris.txt 2
penetrated	Miserables.txt 29, NotreDame_De_Paris.txt 5
penetrates	Miserables.txt 6, NotreDame_De_Paris.txt 1
penetrating	Miserables.txt 14, NotreDame_De_Paris.txt 3
penetration	Miserables.txt 7, NotreDame_De_Paris.txt 1
penguins	Miserables.txt 1
penitence	Miserables.txt 2
penitent	NotreDame_De_Paris.txt 2, Miserables.txt 1
penitential	NotreDame_De_Paris.txt 1
penitentiaries	Miserables.txt 1
penitentiary	Miserables.txt 1
penitents	NotreDame_De_Paris.txt 1, Miserables.txt 1
penknife	Miserables.txt 1
penned	Miserables.txt 7
penniless	Miserables.txt 2
penning	Miserables.txt 1
pennon	NotreDame_De_Paris.txt 2
pennons	NotreDame_De_Paris.txt 4
penny	Miserables.txt 11
pens	Miserables.txt 3, NotreDame_De_Paris.txt 2
pension	Miserables.txt 3
pensioner	NotreDame_De_Paris.txt 3
pensive	Miserables.txt 16, NotreDame_De_Paris.txt 8
pensively	NotreDame_De_Paris.txt 1
pentagonal	NotreDame_De_Paris.txt 1
pentameter	NotreDame_De_Paris.txt 1
pentecost	NotreDame_De_Paris.txt 3
penthouse	Miserables.txt 3, NotreDame_De_Paris.txt 1
penthouses	NotreDame_De_Paris.txt 2
penumbra	Miserables.txt 2
penury	Miserables.txt 1
people	Miserables.txt 474, NotreDame_De_Paris.txt 134
peopled	Miserables.txt 3, NotreDame_De_Paris.txt 2
peoples	Miserables.txt 23
peperit	NotreDame_De_Paris.txt 1
pepin	Miserables.txt 2
pepiniere	Miserables.txt 2
pepita	Miserables.txt 1
pepper	Miserables.txt 2
peppery	Miserables.txt 1
per	Miserables.txt 11, NotreDame_De_Paris.txt 3
perambulating	Miserables.txt 1
perceive	Miserables.txt 40, NotreDame_De_Paris.txt 11
perceived	Miserables.txt 121, NotreDame_De_Paris.txt 40
perceives	Miserables.txt 7, NotreDame_De_Paris.txt 1
perceiving	Miserables.txt 22, NotreDame_De_Paris.txt 10
perceptible	Miserables.txt 10, NotreDame_De_Paris.txt 5
perception	Miserables.txt 3, NotreDame_De_Paris.txt 1
perceptions	Miserables.txt 3, NotreDame_De_Paris.txt 1
perchance	NotreDame_De_Paris.txt 17, Miserables.txt 14
perche	Miserables.txt 1
perched	NotreDame_De_Paris.txt 7, Miserables.txt 3
perching	NotreDame_De_Paris.txt 1
perchloride	Miserables.txt 1
percosius	Miserables.txt 1
perdas	Miserables.txt 1
perde	Miserables.txt 1
perdition	NotreDame_De_Paris.txt 2, Miserables.txt 2
perdu	Miserables.txt 2, NotreDame_De_Paris.txt 1
pere	Miserables.txt 11
peremptorily	NotreDame_De_Paris.txt 1
peremptory	Miserables.txt 2
peres	Miserables.txt 2
perfect	Miserables.txt 35, NotreDame_De_Paris.txt 9
perfected	Miserables.txt 2
perfecting	NotreDame_De_Paris.txt 1, Miserables.txt 1
perfection	Miserables.txt 8, NotreDame_De_Paris.txt 1
perfections	Miserables.txt 2
perfectly	Miserables.txt 77, NotreDame_De_Paris.txt 17
perfidious	Miserables.txt 2
perforating	Miserables.txt 1
perform	Miserables.txt 8, NotreDame_De_Paris.txt 6
performance	NotreDame_De_Paris.txt 1, Miserables.txt 1
performances	Miserables.txt 4, NotreDame_De_Paris.txt 1
performed	Miserables.txt 24, NotreDame_De_Paris.txt 2
performing	Miserables.txt 7, NotreDame_De_Paris.txt 4
performs	Miserables.txt 1
perfroschinum	Miserables.txt 1
perfume	Miserables.txt 17, NotreDame_De_Paris.txt 1
perfumed	Miserables.txt 6
perfumes	Miserables.txt 7
perfuming	Miserables.txt 1
perfunctory	NotreDame_De_Paris.txt 1
perhaps	Miserables.txt 149, NotreDame_De_Paris.txt 37
pericles	Miserables.txt 1
perier	Miserables.txt 3
perigord	Miserables.txt 1
perigueux	Miserables.txt 1
peril	Miserables.txt 28
perilous	Miserables.txt 7
perilously	Miserables.txt 1
perils	Miserables.txt 3
period	Miserables.txt 28, NotreDame_De_Paris.txt 9
periode	NotreDame_De_Paris.txt 1
periodic	NotreDame_De_Paris.txt 1, Miserables.txt 1
periodical	Miserables.txt 3, NotreDame_De_Paris.txt 1
periods	NotreDame_De_Paris.txt 1, Miserables.txt 1
periphrase	NotreDame_De_Paris.txt 1, Miserables.txt 1
periphrases	NotreDame_De_Paris.txt 2
perish	Miserables.txt 8
perished	Miserables.txt 3
perishes	Miserables.txt 2
perishing	NotreDame_De_Paris.txt 2, Miserables.txt 1
peristera	NotreDame_De_Paris.txt 1
peristyles	Miserables.txt 1
perle	Miserables.txt 1
permanent	NotreDame_De_Paris.txt 7, Miserables.txt 7
permanently	Miserables.txt 1
permeate	Miserables.txt 1
permeated	Miserables.txt 9
