fever	Miserables.txt 44, NotreDame_De_Paris.txt 3
fevered	Miserables.txt 1
feverish	Miserables.txt 11
feverishly	Miserables.txt 1
fevers	Miserables.txt 6, NotreDame_De_Paris.txt 1
fevrier	Miserables.txt 1
few	Miserables.txt 284, NotreDame_De_Paris.txt 77
fewer	Miserables.txt 4
fex	Miserables.txt 2
feydeau	Miserables.txt 1
fez	Miserables.txt 2
fi	Miserables.txt 1
fiacre	Miserables.txt 17
fiacres	Miserables.txt 2
fiat	NotreDame_De_Paris.txt 2, Miserables.txt 2
fibre	NotreDame_De_Paris.txt 1
fibres	NotreDame_De_Paris.txt 2, Miserables.txt 2
fibrous	NotreDame_De_Paris.txt 1
fichtre	Miserables.txt 1
fichu	Miserables.txt 5
fichus	Miserables.txt 2
fickle	NotreDame_De_Paris.txt 1
fickleness	Miserables.txt 1
fictions	Miserables.txt 5
fictitious	Miserables.txt 2, NotreDame_De_Paris.txt 1
ficulnus	NotreDame_De_Paris.txt 1
fiddler	NotreDame_De_Paris.txt 1
fidelitas	NotreDame_De_Paris.txt 1
fidelity	Miserables.txt 4, NotreDame_De_Paris.txt 2
fidenae	Miserables.txt 1
fidgeted	Miserables.txt 1
fie	NotreDame_De_Paris.txt 2
fief	NotreDame_De_Paris.txt 10
fiefs	NotreDame_De_Paris.txt 1
field	Miserables.txt 58, NotreDame_De_Paris.txt 12
fields	Miserables.txt 27, NotreDame_De_Paris.txt 8
fiends	Miserables.txt 2
fier	Miserables.txt 1
fierce	Miserables.txt 29, NotreDame_De_Paris.txt 6
fiercest	Miserables.txt 2
fiery	NotreDame_De_Paris.txt 3, Miserables.txt 2
fieschi	Miserables.txt 1
fievee	Miserables.txt 1
fife	NotreDame_De_Paris.txt 2, Miserables.txt 1
fift	Miserables.txt 1
fifteen	Miserables.txt 89, NotreDame_De_Paris.txt 25
fifteenth	NotreDame_De_Paris.txt 29, Miserables.txt 6
fifth	Miserables.txt 29, NotreDame_De_Paris.txt 5
fifthly	Miserables.txt 1
fiftieth	Miserables.txt 1
fifty	Miserables.txt 67, NotreDame_De_Paris.txt 13
fig	Miserables.txt 4
figaro	NotreDame_De_Paris.txt 1
fight	Miserables.txt 21, NotreDame_De_Paris.txt 3
fighters	NotreDame_De_Paris.txt 1
fighting	Miserables.txt 20, NotreDame_De_Paris.txt 2
fights	Miserables.txt 2
figs	Miserables.txt 2
figuier	Miserables.txt 1
figuras	NotreDame_De_Paris.txt 1
figurative	Miserables.txt 1
figuratively	NotreDame_De_Paris.txt 1
figure	Miserables.txt 42, NotreDame_De_Paris.txt 24
figured	Miserables.txt 10, NotreDame_De_Paris.txt 4
figures	Miserables.txt 33, NotreDame_De_Paris.txt 25
figuring	NotreDame_De_Paris.txt 1
figuris	NotreDame_De_Paris.txt 1
filaments	Miserables.txt 1
filch	Miserables.txt 1
filched	Miserables.txt 4
file	Miserables.txt 19, NotreDame_De_Paris.txt 7
filed	Miserables.txt 1
files	Miserables.txt 11, NotreDame_De_Paris.txt 2
filial	Miserables.txt 2, NotreDame_De_Paris.txt 1
filium	Miserables.txt 2
fill	Miserables.txt 16, NotreDame_De_Paris.txt 4
fille	NotreDame_De_Paris.txt 3
filled	Miserables.txt 118, NotreDame_De_Paris.txt 28
