g	Miserables.txt 13
goffeur	Miserables.txt 1
goguelu	NotreDame_De_Paris.txt 1
goguettes	Miserables.txt 1
going	Miserables.txt 296, NotreDame_De_Paris.txt 61
goings	Miserables.txt 3
golconda	NotreDame_De_Paris.txt 1
gold	Miserables.txt 60, NotreDame_De_Paris.txt 50
golden	NotreDame_De_Paris.txt 28, Miserables.txt 18
goldfinch	Miserables.txt 1
goldsmith	NotreDame_De_Paris.txt 3, Miserables.txt 1
goldsmiths	NotreDame_De_Paris.txt 1
goliath	Miserables.txt 2
gomicourt	Miserables.txt 1
gonaguet	Miserables.txt 1
gond	NotreDame_De_Paris.txt 1
gondelaurier	NotreDame_De_Paris.txt 22
gondolas	Miserables.txt 1
gondren	Miserables.txt 2
gone	Miserables.txt 102, NotreDame_De_Paris.txt 12
gonesse	NotreDame_De_Paris.txt 1, Miserables.txt 1
goo	Miserables.txt 1
good	Miserables.txt 801, NotreDame_De_Paris.txt 252
goodly	NotreDame_De_Paris.txt 9
goodman	Miserables.txt 24
goodmen	Miserables.txt 1
goodness	Miserables.txt 27
goods	Miserables.txt 7, NotreDame_De_Paris.txt 2
goodwives	NotreDame_De_Paris.txt 2, Miserables.txt 2
goody	NotreDame_De_Paris.txt 2, Miserables.txt 2
goose	Miserables.txt 5
gooseberry	Miserables.txt 1
gorbeau	Miserables.txt 30
gordon	Miserables.txt 2
gored	Miserables.txt 1
gorge	Miserables.txt 5, NotreDame_De_Paris.txt 2
gorged	NotreDame_De_Paris.txt 1
gorgerette	NotreDame_De_Paris.txt 2
gorges	Miserables.txt 3
gorget	NotreDame_De_Paris.txt 3, Miserables.txt 1
gorgon	NotreDame_De_Paris.txt 1, Miserables.txt 1
gorgons	NotreDame_De_Paris.txt 1
gormandize	Miserables.txt 1
gormandizer	Miserables.txt 1
gosling	NotreDame_De_Paris.txt 1
gospel	Miserables.txt 4
gosselies	Miserables.txt 1
gossip	NotreDame_De_Paris.txt 42, Miserables.txt 8
gossiped	Miserables.txt 2
gossiping	NotreDame_De_Paris.txt 1, Miserables.txt 1
gossips	Miserables.txt 6, NotreDame_De_Paris.txt 3
got	Miserables.txt 71, NotreDame_De_Paris.txt 10
gothic	NotreDame_De_Paris.txt 42, Miserables.txt 5
goton	NotreDame_De_Paris.txt 1
goujon	NotreDame_De_Paris.txt 1, Miserables.txt 1
gourd	NotreDame_De_Paris.txt 1, Miserables.txt 1
gourdes	Miserables.txt 1
gourgaud	Miserables.txt 1
gournay	Miserables.txt 2
gourney	Miserables.txt 1
gousset	Miserables.txt 1
gout	NotreDame_De_Paris.txt 1
gouty	Miserables.txt 5
gouvion	Miserables.txt 1
govern	Miserables.txt 2, NotreDame_De_Paris.txt 1
governed	Miserables.txt 4
governing	Miserables.txt 4
government	Miserables.txt 56
governmentalism	Miserables.txt 1
governmentalist	Miserables.txt 1
governments	Miserables.txt 2
governor	NotreDame_De_Paris.txt 5
governors	Miserables.txt 1
governs	Miserables.txt 3
gown	Miserables.txt 40, NotreDame_De_Paris.txt 7
gowns	Miserables.txt 4, NotreDame_De_Paris.txt 1
goy	NotreDame_De_Paris.txt 1
goya	NotreDame_De_Paris.txt 1
gozzi	Miserables.txt 1
gr	NotreDame_De_Paris.txt 62
gracchi	Miserables.txt 1
gracchos	Miserables.txt 1
gracchus	Miserables.txt 2
grace	Miserables.txt 42, NotreDame_De_Paris.txt 18
graceful	Miserables.txt 18, NotreDame_De_Paris.txt 17
gracefully	NotreDame_De_Paris.txt 12, Miserables.txt 1
graces	Miserables.txt 6
gracieuse	Miserables.txt 1
gracious	Miserables.txt 8, NotreDame_De_Paris.txt 5
graciously	Miserables.txt 2, NotreDame_De_Paris.txt 1
gradation	NotreDame_De_Paris.txt 1
grade	Miserables.txt 2
graded	NotreDame_De_Paris.txt 1
grades	NotreDame_De_Paris.txt 1
gradual	NotreDame_De_Paris.txt 1
gradually	Miserables.txt 43, NotreDame_De_Paris.txt 15
graduate	Miserables.txt 1
graduated	NotreDame_De_Paris.txt 1, Miserables.txt 1
graeculus	Miserables.txt 1
graft	NotreDame_De_Paris.txt 2, Miserables.txt 2
grafted	Miserables.txt 2
grafting	Miserables.txt 2, NotreDame_De_Paris.txt 1
grafts	Miserables.txt 1
grain	Miserables.txt 12, NotreDame_De_Paris.txt 4
grains	Miserables.txt 4, NotreDame_De_Paris.txt 1
grammar	Miserables.txt 4
grammarian	NotreDame_De_Paris.txt 1, Miserables.txt 1
grammars	Miserables.txt 1
gramont	Miserables.txt 2
gran	NotreDame_De_Paris.txt 1
granary	Miserables.txt 3, NotreDame_De_Paris.txt 1
grand	Miserables.txt 147, NotreDame_De_Paris.txt 83
grandchild	Miserables.txt 1
grandchildren	Miserables.txt 1
grande	Miserables.txt 3, NotreDame_De_Paris.txt 1
grander	Miserables.txt 6
grandest	Miserables.txt 2
grandeur	Miserables.txt 26, NotreDame_De_Paris.txt 8
grandeurs	Miserables.txt 5
grandfather	Miserables.txt 135, NotreDame_De_Paris.txt 2
grandfathers	Miserables.txt 1
grandiose	Miserables.txt 6, NotreDame_De_Paris.txt 1
grandioseness	Miserables.txt 1
grandly	Miserables.txt 1
grandmother	Miserables.txt 3, NotreDame_De_Paris.txt 2
grandmothers	Miserables.txt 3, NotreDame_De_Paris.txt 1
grandnephew	Miserables.txt 6
grandpapa	Miserables.txt 1
grands	Miserables.txt 1
grandsire	Miserables.txt 1
grandsires	Miserables.txt 1
grandson	Miserables.txt 20, NotreDame_De_Paris.txt 1
granduncle	Miserables.txt 1
grange	Miserables.txt 2, NotreDame_De_Paris.txt 1
granite	Miserables.txt 16, NotreDame_De_Paris.txt 8
granmont	Miserables.txt 1
grant	Miserables.txt 14, NotreDame_De_Paris.txt 2
grantaire	Miserables.txt 85
granted	Miserables.txt 15, NotreDame_De_Paris.txt 10
granting	Miserables.txt 2
grants	Miserables.txt 3
grape	Miserables.txt 47
grapes	Miserables.txt 6, NotreDame_De_Paris.txt 2
grappling	Miserables.txt 1
gras	Miserables.txt 5, NotreDame_De_Paris.txt 1
grase	Miserables.txt 1
grasp	Miserables.txt 25, NotreDame_De_Paris.txt 2
grasped	Miserables.txt 37, NotreDame_De_Paris.txt 8
grasping	NotreDame_De_Paris.txt 6, Miserables.txt 6
grasps	NotreDame_De_Paris.txt 1, Miserables.txt 1
grass	Miserables.txt 53, NotreDame_De_Paris.txt 4
grasse	Miserables.txt 4
grasses	Miserables.txt 3
grasshopper	NotreDame_De_Paris.txt 2
grasshoppers	Miserables.txt 1
