because	C:\MiniGoogle\Books\hamlet 1
beck	C:\MiniGoogle\Books\hamlet 1
beckons	C:\MiniGoogle\Books\hamlet 2
becomes	C:\MiniGoogle\Books\hamlet 3
bed	C:\MiniGoogle\Books\hamlet 14
bedded	C:\MiniGoogle\Books\hamlet 1
beds	C:\MiniGoogle\Books\hamlet 1
been	C:\MiniGoogle\Books\hamlet 28
beer	C:\MiniGoogle\Books\hamlet 1
beetles	C:\MiniGoogle\Books\hamlet 1
befall	C:\MiniGoogle\Books\hamlet 1
befitted	C:\MiniGoogle\Books\hamlet 1
before	C:\MiniGoogle\Books\hamlet 21
beg	C:\MiniGoogle\Books\hamlet 7
beget	C:\MiniGoogle\Books\hamlet 1
beggar	C:\MiniGoogle\Books\hamlet 4
beggars	C:\MiniGoogle\Books\hamlet 2
begin	C:\MiniGoogle\Books\hamlet 6
begins	C:\MiniGoogle\Books\hamlet 2
beguile	C:\MiniGoogle\Books\hamlet 2
begun	C:\MiniGoogle\Books\hamlet 4
behaved	C:\MiniGoogle\Books\hamlet 1
behavior	C:\MiniGoogle\Books\hamlet 2
behind	C:\MiniGoogle\Books\hamlet 9
behold	C:\MiniGoogle\Books\hamlet 1
behove	C:\MiniGoogle\Books\hamlet 1
behoves	C:\MiniGoogle\Books\hamlet 1
being	C:\MiniGoogle\Books\hamlet 12
belief	C:\MiniGoogle\Books\hamlet 1
believe	C:\MiniGoogle\Books\hamlet 19
believed	C:\MiniGoogle\Books\hamlet 1
belike	C:\MiniGoogle\Books\hamlet 2
bell	C:\MiniGoogle\Books\hamlet 2
bellow	C:\MiniGoogle\Books\hamlet 1
bellowed	C:\MiniGoogle\Books\hamlet 1
bells	C:\MiniGoogle\Books\hamlet 1
beloved	C:\MiniGoogle\Books\hamlet 1
below	C:\MiniGoogle\Books\hamlet 3
bend	C:\MiniGoogle\Books\hamlet 3
bended	C:\MiniGoogle\Books\hamlet 1
beneath	C:\MiniGoogle\Books\hamlet 5
benefit	C:\MiniGoogle\Books\hamlet 1
bent	C:\MiniGoogle\Books\hamlet 3
berattle	C:\MiniGoogle\Books\hamlet 1
bernardo	C:\MiniGoogle\Books\hamlet 31
beseech	C:\MiniGoogle\Books\hamlet 8
beshrew	C:\MiniGoogle\Books\hamlet 1
besides	C:\MiniGoogle\Books\hamlet 1
besmirch	C:\MiniGoogle\Books\hamlet 1
bespeak	C:\MiniGoogle\Books\hamlet 1
best	C:\MiniGoogle\Books\hamlet 11
bestial	C:\MiniGoogle\Books\hamlet 1
bestow	C:\MiniGoogle\Books\hamlet 5
bestowed	C:\MiniGoogle\Books\hamlet 1
bet	C:\MiniGoogle\Books\hamlet 1
beteem	C:\MiniGoogle\Books\hamlet 1
bethought	C:\MiniGoogle\Books\hamlet 1
betime	C:\MiniGoogle\Books\hamlet 1
betimes	C:\MiniGoogle\Books\hamlet 1
betoken	C:\MiniGoogle\Books\hamlet 1
better	C:\MiniGoogle\Books\hamlet 16
between	C:\MiniGoogle\Books\hamlet 15
bevy	C:\MiniGoogle\Books\hamlet 1
beware	C:\MiniGoogle\Books\hamlet 2
bewept	C:\MiniGoogle\Books\hamlet 1
beyond	C:\MiniGoogle\Books\hamlet 2
bias	C:\MiniGoogle\Books\hamlet 1
bid	C:\MiniGoogle\Books\hamlet 6
bier	C:\MiniGoogle\Books\hamlet 1
bilboes	C:\MiniGoogle\Books\hamlet 1
bird	C:\MiniGoogle\Books\hamlet 2
birds	C:\MiniGoogle\Books\hamlet 1
birth	C:\MiniGoogle\Books\hamlet 4
bisson	C:\MiniGoogle\Books\hamlet 1
bites	C:\MiniGoogle\Books\hamlet 1
bitter	C:\MiniGoogle\Books\hamlet 3
black	C:\MiniGoogle\Books\hamlet 8
blackest	C:\MiniGoogle\Books\hamlet 1
blame	C:\MiniGoogle\Books\hamlet 4
blank	C:\MiniGoogle\Books\hamlet 2
blanket	C:\MiniGoogle\Books\hamlet 1
blanks	C:\MiniGoogle\Books\hamlet 1
blast	C:\MiniGoogle\Books\hamlet 2
blasted	C:\MiniGoogle\Books\hamlet 2
blasting	C:\MiniGoogle\Books\hamlet 1
